Title,Type,Priority,Epic,Story Points,Status,Body
"STORY 1.1: Critical Security Vulnerabilities",story,P0-Critical,epic:security,21,Todo,"Fix SQL injection, XSS, data loss, auth bypass, and RLS issues.\n\n**Tasks:**\n- Fix SQL Injection Vulnerability\n- Fix XSS via dangerouslySetInnerHTML\n- Fix Bulk Update API Data Loss\n- Enable Authentication on Admin Routes\n- Fix RLS Policy Inadequacies\n- Security Audit & Penetration Testing"
"STORY 1.2: Security Infrastructure",story,P1-High,epic:security,13,Todo,"Set up security tooling, rate limiting, logging cleanup, incident response.\n\n**Tasks:**\n- Set Up Security Scanning Tools\n- Implement Rate Limiting\n- Remove Console Logs from Production\n- Create Security Incident Response Plan"
"STORY 2.1: Unit Testing Foundation",story,P1-High,epic:testing,21,Todo,"Audit existing tests and write comprehensive unit tests for utilities, components, and API.\n\n**Tasks:**\n- Audit Existing Unit Tests\n- Write Unit Tests for Core Utilities\n- Write Unit Tests for Section Components\n- Write Unit Tests for API Utilities"
"STORY 2.2: Integration Testing",story,P1-High,epic:testing,13,Todo,"Write integration tests for API routes, database layer, and site generation.\n\n**Tasks:**\n- Write Integration Tests for API Routes\n- Write Integration Tests for Database Layer\n- Write Integration Tests for Site Generation"
"STORY 2.3: End-to-End Testing",story,P2-Medium,epic:testing,21,Todo,"Write E2E tests for critical user flows and business site rendering.\n\n**Tasks:**\n- Write E2E Tests for Critical User Flows\n- Write E2E Tests for Business Site Rendering\n- Set Up Visual Regression Testing"
"STORY 2.4: Security Testing",story,P1-High,epic:testing,13,Todo,"Write security unit and integration tests, automate in CI.\n\n**Tasks:**\n- Write Security Unit Tests\n- Write Security Integration Tests\n- Automate Security Testing in CI"
"STORY 3.1: User Documentation",story,P2-Medium,epic:docs,13,Todo,"Create admin user guide, business owner guide, and quick start guide.\n\n**Tasks:**\n- Create Admin User Guide\n- Create Business Owner Guide\n- Create Quick Start Guide"
"STORY 3.2: Technical Documentation",story,P1-High,epic:docs,21,Todo,"Complete API docs, architecture decisions, developer onboarding, component library.\n\n**Tasks:**\n- Complete API Documentation\n- Document Architecture Decisions\n- Create Developer Onboarding Guide\n- Document Component Library\n- Create Database Schema Documentation"
"STORY 3.3: Operations Documentation",story,P2-Medium,epic:docs,13,Todo,"Create deployment runbooks, monitoring runbooks, incident response.\n\n**Tasks:**\n- Create Deployment Runbooks\n- Create Monitoring & Alerting Runbooks\n- Create Incident Response Runbooks\n- Create Business Type Addition Guide"
"STORY 4.1: Site Generation Engine Completion",story,P1-High,epic:platform,21,Todo,"Implement multi-page generation, on-demand API, versioning, palette selection.\n\n**Tasks:**\n- Implement Multi-Page Site Generation\n- Implement On-Demand Site Generation API\n- Implement Site Versioning\n- Implement Palette Selection UI"
"STORY 4.2: Admin Dashboard Enhancement",story,P1-High,epic:platform,21,Todo,"Implement full CRUD, site generation trigger, lead management, analytics.\n\n**Tasks:**\n- Implement Full CRUD for Businesses\n- Implement Site Generation Trigger\n- Implement Lead Management Dashboard\n- Implement Business Analytics Dashboard"
"STORY 4.3: Lead Management System",story,P1-High,epic:platform,13,Todo,"Implement lead import, scoring v2, status pipeline.\n\n**Tasks:**\n- Implement Lead Import Pipeline\n- Implement Lead Scoring v2\n- Implement Lead Status Pipeline"
"STORY 5.1: Booking & Contact Integration",story,P2-Medium,epic:features,13,Todo,"Implement online booking widget, contact forms, Google Maps integration.\n\n**Tasks:**\n- Implement Online Booking Widget\n- Implement Contact Form Submissions\n- Implement Google Maps Integration"
"STORY 5.2: SEO & Marketing Features",story,P2-Medium,epic:features,13,Todo,"Implement structured data, sitemaps, social meta, before/after gallery.\n\n**Tasks:**\n- Implement Structured Data (JSON-LD)\n- Implement Sitemap Generation\n- Implement Open Graph & Social Meta\n- Implement Before/After Gallery"
"STORY 5.3: Media & Assets Management",story,P2-Medium,epic:features,13,Todo,"Implement image uploads, placeholders, optimization, logo support.\n\n**Tasks:**\n- Implement Image Upload System\n- Implement Placeholder Image System\n- Implement Image Optimization\n- Implement Logo & Favicon Support"
"STORY 6.1: Outreach Pipeline",story,P2-Medium,epic:outreach,13,Todo,"Build WhatsApp outreach system, templates, tracking.\n\n**Tasks:**\n- Create WhatsApp Outreach Templates\n- Build Outreach Console UI\n- Implement Demo URL Tracking\n- Set Up Outreach Analytics"
"STORY 6.2: Customer Onboarding Flow",story,P2-Medium,epic:outreach,13,Todo,"Create onboarding form, confirmation flow, site regeneration trigger.\n\n**Tasks:**\n- Create Onboarding Form Page\n- Implement Business Info Confirmation\n- Implement Palette Selection\n- Implement Text Change Requests"
"STORY 6.3: CRM-Lite Features",story,P2-Medium,epic:outreach,13,Todo,"Build lead status pipeline, activity logging, notes system.\n\n**Tasks:**\n- Define Lead Status State Machine\n- Implement Status Transitions\n- Build Activity Feed\n- Create Notes System"
"STORY 7.1: MercadoPago Integration",story,P3-Low,epic:payments,13,Todo,"Integrate MercadoPago checkout, webhooks, payment verification.\n\n**Tasks:**\n- Set Up MercadoPago SDK\n- Create Checkout Flow\n- Implement Webhook Handler\n- Add Payment Verification"
"STORY 7.2: Subscription Management",story,P3-Low,epic:payments,8,Todo,"Implement subscription tiers, feature gating, billing management.\n\n**Tasks:**\n- Define Pricing Tiers in Database\n- Implement Feature Gating\n- Create Subscription Management UI\n- Set Up Recurring Billing"
