Title,Type,Priority,Epic,Story Points,Status,Labels,Body
"TASK 5.1.1: Implement Online Booking Widget",task,P2-Medium,epic:features,5,Todo,"feature","**Acceptance:**\n- [ ] Integrate Fresha widget\n- [ ] Support Calendly embed\n- [ ] WhatsApp booking flow\n- [ ] Service selection\n- [ ] Date/time picker"
"TASK 5.1.2: Implement Contact Form Submissions",task,P2-Medium,epic:features,5,Todo,"feature","**Context:** Forms defined but static\n\n**Acceptance:**\n- [ ] Create form submission API\n- [ ] Store submissions in database\n- [ ] Send email notifications\n- [ ] Show confirmation message\n- [ ] Spam protection"
"TASK 5.1.3: Implement Google Maps Integration",task,P2-Medium,epic:features,3,Todo,"feature","**Context:** Works with embed URL, most have link URLs\n\n**Acceptance:**\n- [ ] Convert link URLs to embed format\n- [ ] Handle missing map data gracefully\n- [ ] Add directions link\n- [ ] Mobile-optimized display"
"TASK 5.2.1: Implement Structured Data (JSON-LD)",task,P2-Medium,epic:features,5,Todo,"feature","**Context:** SchemaType defined but not generated\n\n**Acceptance:**\n- [ ] Generate LocalBusiness schema\n- [ ] Generate Service schema\n- [ ] Generate FAQ schema\n- [ ] Validate with Google Rich Results"
"TASK 5.2.2: Implement Sitemap Generation",task,P2-Medium,epic:features,3,Todo,"feature","**Acceptance:**\n- [ ] Generate XML sitemap\n- [ ] Include all pages\n- [ ] Add lastmod dates\n- [ ] Submit to search engines"
"TASK 5.2.3: Implement Open Graph & Social Meta",task,P2-Medium,epic:features,3,Todo,"feature","**Context:** Title/description exist, need OG images\n\n**Acceptance:**\n- [ ] Generate OG images dynamically\n- [ ] Add Twitter card meta\n- [ ] Test social sharing"
"TASK 5.2.4: Implement Before/After Gallery",task,P2-Medium,epic:features,2,Todo,"feature","**Context:** Feature flag exists, no component\n\n**Acceptance:**\n- [ ] Create Before/After component\n- [ ] Support slider comparison\n- [ ] Support side-by-side\n- [ ] Mobile responsive"
"TASK 5.3.1: Implement Image Upload System",task,P2-Medium,epic:features,5,Todo,"feature","**Context:** Cloudinary env vars exist, no handling\n\n**Acceptance:**\n- [ ] Create upload API endpoint\n- [ ] Integrate Cloudinary\n- [ ] Support multiple image formats\n- [ ] Add image optimization\n- [ ] Create upload UI"
"TASK 5.3.2: Implement Placeholder Image System",task,P2-Medium,epic:features,3,Todo,"feature","**Acceptance:**\n- [ ] Generate category-based placeholders\n- [ ] Use as fallback for missing images\n- [ ] Support business type theming"
"TASK 5.3.3: Implement Image Optimization",task,P2-Medium,epic:features,3,Todo,"feature","**Context:** Using raw img tags\n\n**Acceptance:**\n- [ ] Convert to Next.js Image component\n- [ ] Implement lazy loading\n- [ ] Add responsive sizes\n- [ ] Optimize for Core Web Vitals"
